fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	min_gain_to_split	lambda_l1	lambda_l2	prob_corte	ganancia	iteracion
20220423 105902	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	18	TRUE	0,244887937	0,989530956	437	675	0,126240224	8,079400911	99,99295309	0,008598603	12716000	116
20220423 113908	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	64	TRUE	0,291494299	0,524255319	911	796	0,080917596	6,551610484	99,11558346	0,021502558	12710000	193
20220423 102055	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	352	TRUE	0,024950724	0,204032101	3993	301	3,857588393	3,476956795	37,63191854	0,019752998	12687000	55
20220423 102715	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	76	TRUE	0,063937502	0,200250813	949	364	6,884722808	0,260142695	91,1095288	0,016190794	12684000	63
20220423 115924	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	62	TRUE	0,280674253	0,425604201	6879	16	0,034297853	10,21505374	85,02134383	0,013755465	12652000	229
20220423 102355	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	640	TRUE	0,023244299	0,222066454	7718	721	0,089030946	16,06555235	44,67599341	0,018086004	12640000	59
20220423 112514	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	39	TRUE	0,246346869	0,561449701	7675	1021	0,069988684	0,06282143	14,03925336	0,024684959	12590000	151
20220423 113927	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	107	TRUE	0,165262791	0,201514253	3996	959	0,037375504	20,87547211	99,17086819	0,014358241	12587000	194
20220423 113323	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	141	TRUE	0,073578085	0,213687301	4936	23	0,024590554	0,171448381	8,439900776	0,023963207	12573000	176
20220423 112714	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	25	TRUE	0,274350315	0,950200198	936	298	0,058879918	25,09373421	59,65361114	0,011829095	12557000	158
20220423 101609	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	45	TRUE	0,115048675	0,403299634	2453	848	0,433076923	10,87493344	41,58025488	0,02322748	12474000	49
20220423 111323	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	305	TRUE	0,017156081	0,20019802	4378	650	10,49355181	0,777016533	0,042885562	0,017025596	12465000	137
20220423 115235	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	67	TRUE	0,281052821	0,512788831	7925	770	0,037617865	0,031809813	50,48134002	0,020989521	12440000	215
20220423 105055	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	621	TRUE	0,015348244	0,205041222	7994	536	0,027912979	3,450058737	32,01765797	0,024468505	12438000	96
20220423 112644	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	48	TRUE	0,195716346	0,574021651	6757	1017	0,061902767	0,145930052	99,7862063	0,025895665	12323000	156
20220423 112613	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	30	TRUE	0,299122534	0,317583946	7494	979	4,358026461	0,013072192	99,728444	0,021501789	12322000	154
20220423 101807	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	68	TRUE	0,054047175	0,214279412	30	446	0,388017198	36,74889827	43,77775556	0,015997631	12205000	52
20220423 105702	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	57	TRUE	0,051492405	0,203779066	2313	950	0,028436545	37,14632985	2,794790434	0,013457471	12166000	112
20220423 104436	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	66	TRUE	0,052007991	0,982413679	1930	131	13,55899843	5,476580498	39,24464049	0,013889042	12040000	84
20220423 114026	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	73	TRUE	0,229618461	0,200862375	7985	329	0,004373457	13,62128592	3,901882516	0,024593802	11999000	197
20220423 113341	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	37	TRUE	0,161161275	0,572601354	7706	414	0,09421635	0,002214483	1,747532974	0,027151937	11901000	177
20220423 110205	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	68	TRUE	0,074987299	0,954734108	2510	1000	0,128437085	0,997263061	41,65651338	0,025975401	11842000	121
20220423 101354	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	17	TRUE	0,226420001	0,375239941	1220	855	9,930310633	15,12860062	38,43731343	0,018071184	11800000	35
20220423 103153	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	111	TRUE	0,063418224	0,23792245	5062	63	0,957190462	2,112137449	34,66856141	0,00984233	11741000	67
20220423 113642	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	17	TRUE	0,289285308	0,961175324	7887	804	3,59004699	22,77083082	92,31890893	0,011671402	11732000	186
20220423 101436	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	27	TRUE	0,152713813	0,523889671	109	612	8,247408548	20,10749651	94,05230476	0,013078232	11726000	39
20220423 101503	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	13	TRUE	0,280861313	0,531345414	1393	443	9,984335859	17,79975974	58,38296949	0,014024855	11686000	42
20220423 103953	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	135	TRUE	0,039556815	0,226129796	2526	1014	0,116071014	80,07578456	99,91508793	0,013775955	11652000	76
20220423 114118	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	9	TRUE	0,28723	0,959101656	7	390	22,409959	0,029581104	27,58340949	0,010140678	11615000	199
20220423 101453	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	16	TRUE	0,249080965	0,561108039	534	597	3,422886991	61,0557794	99,18810849	0,011722071	11608000	41
20220423 114110	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	386	TRUE	0,030123908	0,87331929	5512	72	0,026767184	18,59402306	60,60136853	0,008349663	11608000	198
20220423 101444	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	19	TRUE	0,182096596	0,647766815	384	555	15,61592566	0,098221184	44,93709725	0,020733783	11574000	40
20220423 113250	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	69	TRUE	0,118232473	0,594172	127	1018	0,021200552	0,29290733	57,04386745	0,03059425	11522000	175
20220423 104000	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	12	TRUE	0,230151501	0,947434821	7818	19	22,79450213	0,896958838	39,98162558	0,013821541	11496000	77
20220423 111347	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	61	TRUE	0,029198742	0,208256908	108	443	0,078512698	95,24254652	62,67908562	0,008385624	11493000	138
20220423 115521	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	147	TRUE	0,010213842	0,299993629	1093	974	33,32276627	0,319074424	68,00158208	0,008400679	11451000	219
20220423 115746	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	32	TRUE	0,046699471	0,256425067	7175	716	0,039310461	53,41498728	97,60820794	0,008384205	11373000	222
20220423 114831	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	86	TRUE	0,070136095	0,93338732	7950	962	4,072949422	0,004932581	62,70258046	0,008981719	11372000	204
20220423 105818	binary	custom	TRUE	TRUE	FALSE	-100	777137	-1	31	26	TRUE	0,034183285	0,922149918	812	686	0,193297498	73,41936229	92,86350141	0,00833602	11352000	114
