min_split	min_bucket	cp	max_depth	seg	ganancia_promedio
50	25	0.009	8	38.04	0
50	25	0.009	10	40.06	0
50	25	0.009	15	42.9	0
50	25	0.009	20	42.06	0
50	25	0.01	4	27.35	0
50	25	0.01	6	33.11	0
50	25	0.01	8	37.31	0
50	25	0.01	10	40.14	0
50	25	0.01	15	40.32	0
50	25	0.01	20	40.53	0
100	5	-1	4	28.45	9016000
100	5	-1	6	39.64	10084667
100	5	-1	8	52.2	10056000
100	5	-1	10	63.33	9545333
100	5	-1	15	88.45	7066667
100	5	-1	20	103.1	4849333
100	5	-0.75	4	28.81	9016000
100	5	-0.75	6	40.67	10084667
100	5	-0.75	8	51.84	10056000
100	5	-0.75	10	63.84	9545333
100	5	-0.75	15	89.17	7066667
100	5	-0.75	20	102.87	4849333
100	5	-0.5	4	28.78	9016000
100	5	-0.5	6	40.43	10084667
100	5	-0.5	8	52.08	10056000
100	5	-0.5	10	63.88	9545333
100	5	-0.5	15	89.43	7066667
100	5	-0.5	20	103.31	4849333
100	5	-0.25	4	28.94	9016000
100	5	-0.25	6	39.61	10084667
100	5	-0.25	8	52.65	10056000
100	5	-0.25	10	63.55	9545333
100	5	-0.25	15	89.86	7066667
100	5	-0.25	20	103.63	4849333
100	5	0	4	27.44	0
100	5	0	6	39.48	1282000
100	5	0	8	50.98	4539333
100	5	0	10	61.88	8186000
100	5	0	15	86.44	8417333
100	5	0	20	100.19	8602667
100	5	0.001	4	27.34	0
100	5	0.001	6	38.46	0
100	5	0.001	8	50.83	0
100	5	0.001	10	62.26	0
100	5	0.001	15	83.68	0
100	5	0.001	20	96.15	0
100	5	0.002	4	27.4	0
100	5	0.002	6	39.11	0
100	5	0.002	8	51.28	0
100	5	0.002	10	60.45	0
100	5	0.002	15	75.9	0
100	5	0.002	20	86.03	0
100	5	0.003	4	27.83	0
100	5	0.003	6	39.36	0
100	5	0.003	8	49.95	0
100	5	0.003	10	57.55	0
100	5	0.003	15	71	0
100	5	0.003	20	78.61	0
100	5	0.004	4	29.03	0
100	5	0.004	6	38.61	0
100	5	0.004	8	47.57	0
100	5	0.004	10	54.27	0
100	5	0.004	15	65.56	0
100	5	0.004	20	69.22	0
100	5	0.005	4	27.76	0
100	5	0.005	6	37.88	0
100	5	0.005	8	45.75	0
100	5	0.005	10	50.87	0
100	5	0.005	15	62.34	0
100	5	0.005	20	63.32	0
100	5	0.006	4	27.07	0
100	5	0.006	6	37.22	0
100	5	0.006	8	44.48	0
100	5	0.006	10	49.96	0
100	5	0.006	15	58.7	0
100	5	0.006	20	59.69	0
100	5	0.007	4	27.63	0
100	5	0.007	6	36.13	0
100	5	0.007	8	41.8	0
100	5	0.007	10	47.39	0
100	5	0.007	15	54.08	0
100	5	0.007	20	54.72	0
100	5	0.008	4	26.61	0
100	5	0.008	6	34.99	0
100	5	0.008	8	40.93	0
100	5	0.008	10	46.29	0
100	5	0.008	15	56.81	0
100	5	0.008	20	58.78	0
100	5	0.009	4	26.82	0
100	5	0.009	6	33.84	0
100	5	0.009	8	40.32	0
100	5	0.009	10	44.37	0
100	5	0.009	15	49.18	0
100	5	0.009	20	49.17	0
100	5	0.01	4	26.64	0
100	5	0.01	6	34.53	0
100	5	0.01	8	40.23	0
100	5	0.01	10	45.09	0
100	5	0.01	15	47.79	0
100	5	0.01	20	47.9	0
100	12	-1	4	27.78	8939333
100	12	-1	6	38.72	10130667
100	12	-1	8	51.02	9423333
100	12	-1	10	61.3	8086667
100	12	-1	15	83.85	5774000
100	12	-1	20	95.17	4712000
100	12	-0.75	4	27.42	8939333
100	12	-0.75	6	40.99	10130667
100	12	-0.75	8	50.27	9423333
100	12	-0.75	10	61.86	8086667
100	12	-0.75	15	83.3	5774000
100	12	-0.75	20	95.36	4712000
100	12	-0.5	4	27.36	8939333
100	12	-0.5	6	39.07	10130667
100	12	-0.5	8	50.26	9423333
100	12	-0.5	10	62.53	8086667
100	12	-0.5	15	84.17	5774000
100	12	-0.5	20	95.59	4712000
100	12	-0.25	4	28.2	8939333
100	12	-0.25	6	39.34	10130667
100	12	-0.25	8	51.81	9423333
100	12	-0.25	10	62.21	8086667
100	12	-0.25	15	84.74	5774000
100	12	-0.25	20	96.2	4712000
100	12	0	4	27.98	0
100	12	0	6	39.03	0
100	12	0	8	51.34	0
100	12	0	10	60.78	0
100	12	0	15	80.46	0
100	12	0	20	89.91	0
100	12	0.001	4	27.15	0
