min_split	min_bucket	cp	max_depth	t0	t1	t_seg	ganancia_promedio
350	20	1e-04	3	23:59:23	00:00:30	66.8406591415405	0
25	20	1e-04	3	23:59:23	00:00:30	67.2514278888702	0
50	20	1e-04	3	23:59:23	00:00:30	67.2993900775909	0
150	20	1e-04	3	23:59:23	00:00:30	67.4942858219147	0
250	20	1e-04	3	23:59:23	00:00:31	67.6601839065552	0
300	20	1e-04	3	23:59:23	00:00:31	67.7951090335846	0
100	20	1e-04	3	23:59:23	00:00:31	67.9570178985596	0
750	20	1e-04	3	00:00:32	00:01:38	65.4044787883759	0
400	20	1e-04	3	00:00:32	00:01:40	67.1624820232391	0
700	20	1e-04	3	00:00:32	00:01:40	67.2404320240021	0
450	20	1e-04	3	00:00:32	00:01:40	67.7771198749542	0
650	20	1e-04	3	00:00:32	00:01:40	67.8400847911835	0
600	20	1e-04	3	00:00:32	00:01:40	67.9420258998871	0
550	20	1e-04	3	00:00:32	00:01:40	68.0259778499603	0
500	20	1e-04	3	00:00:32	00:01:41	68.1748938560486	0
800	20	1e-04	3	00:01:42	00:02:48	66.3089680671692	0
900	20	1e-04	3	00:01:42	00:02:49	67.2034521102905	0
1000	20	1e-04	3	00:01:42	00:02:49	67.2224419116974	0
25	30	1e-04	3	00:01:42	00:02:49	67.2434289455414	0
850	20	1e-04	3	00:01:42	00:02:49	67.3713569641113	0
50	30	1e-04	3	00:01:42	00:02:50	67.6621840000153	0
100	30	1e-04	3	00:01:42	00:02:50	67.7401399612427	0
950	20	1e-04	3	00:01:42	00:02:50	67.8021070957184	0
250	30	1e-04	3	00:02:50	00:03:56	65.447459936142	0
350	30	1e-04	3	00:02:50	00:03:56	65.8602240085602	0
450	30	1e-04	3	00:02:50	00:03:57	66.5388338565826	0
200	30	1e-04	3	00:02:50	00:03:57	67.0665309429169	0
150	30	1e-04	3	00:02:50	00:03:57	67.1594820022583	0
400	30	1e-04	3	00:02:50	00:03:57	67.2204439640045	0
500	30	1e-04	3	00:02:50	00:03:58	67.3323769569397	0
300	30	1e-04	3	00:02:50	00:03:58	67.4333200454712	0
650	30	1e-04	3	00:03:59	00:05:06	66.7287249565125	0
800	30	1e-04	3	00:03:59	00:05:06	67.3963439464569	0
600	30	1e-04	3	00:03:59	00:05:07	67.4233260154724	0
550	30	1e-04	3	00:03:59	00:05:07	67.5532479286194	0
900	30	1e-04	3	00:03:59	00:05:07	67.7011611461639	0
850	30	1e-04	3	00:03:59	00:05:07	68.2448539733887	0
700	30	1e-04	3	00:03:59	00:05:08	68.4317429065704	0
750	30	1e-04	3	00:03:59	00:05:08	69.0573899745941	0
200	50	1e-04	3	00:05:09	00:06:16	66.5378320217133	0
250	50	1e-04	3	00:05:09	00:06:16	67.0495388507843	0
50	50	1e-04	3	00:05:09	00:06:16	67.0915150642395	0
150	50	1e-04	3	00:05:09	00:06:17	67.1774709224701	0
100	50	1e-04	3	00:05:09	00:06:17	67.2064468860626	0
950	30	1e-04	3	00:05:09	00:06:17	67.4652998447418	0
1000	30	1e-04	3	00:05:09	00:06:17	67.7021641731262	0
25	50	1e-04	3	00:05:09	00:06:17	67.7201509475708	0
300	50	1e-04	3	00:06:20	00:07:25	65.5314140319824	0
500	50	1e-04	3	00:06:20	00:07:25	65.8582270145416	0
550	50	1e-04	3	00:06:20	00:07:26	66.7647030353546	0
350	50	1e-04	3	00:06:20	00:07:27	67.2854058742523	0
400	50	1e-04	3	00:06:20	00:07:27	67.3933429718018	0
650	50	1e-04	3	00:06:20	00:07:27	67.4453108310699	0
450	50	1e-04	3	00:06:20	00:07:27	67.5532488822937	0
600	50	1e-04	3	00:06:20	00:07:27	67.6172118186951	0
700	50	1e-04	3	00:07:29	00:08:35	65.8382380008698	0
850	50	1e-04	3	00:07:29	00:08:35	66.4668760299683	0
25	75	1e-04	3	00:07:29	00:08:36	66.9945709705353	0
950	50	1e-04	3	00:07:29	00:08:36	67.1055099964142	0
900	50	1e-04	3	00:07:29	00:08:36	67.2164480686188	0
1000	50	1e-04	3	00:07:29	00:08:36	67.4483098983765	0
750	50	1e-04	3	00:07:29	00:08:37	67.631206035614	0
800	50	1e-04	3	00:07:29	00:08:37	67.7251479625702	0
50	75	1e-04	3	00:08:39	00:09:44	65.7872622013092	0
250	75	1e-04	3	00:08:39	00:09:45	65.9211940765381	0
100	75	1e-04	3	00:08:39	00:09:45	66.5008590221405	0
350	75	1e-04	3	00:08:39	00:09:46	66.9416029453278	0
150	75	1e-04	3	00:08:39	00:09:46	67.3263781070709	0
200	75	1e-04	3	00:08:39	00:09:46	67.333370923996	0
400	75	1e-04	3	00:08:39	00:09:46	67.4113278388977	0
300	75	1e-04	3	00:08:39	00:09:46	67.445307970047	0
650	75	1e-04	3	00:09:48	00:10:53	65.152153968811	0
500	75	1e-04	3	00:09:48	00:10:54	66.4394130706787	0
700	75	1e-04	3	00:09:48	00:10:55	67.0710489749908	0
550	75	1e-04	3	00:09:48	00:10:55	67.2639429569244	0
450	75	1e-04	3	00:09:48	00:10:55	67.2719361782074	0
750	75	1e-04	3	00:09:48	00:10:55	67.2999179363251	0
600	75	1e-04	3	00:09:48	00:10:55	67.5757608413696	0
800	75	1e-04	3	00:09:48	00:10:55	67.6437160968781	0
1000	75	1e-04	3	00:10:57	00:12:03	65.5813879966736	0
150	100	1e-04	3	00:10:57	00:12:03	65.5863800048828	0
850	75	1e-04	3	00:10:57	00:12:03	66.4139068126678	0
900	75	1e-04	3	00:10:57	00:12:04	66.7746961116791	0
50	100	1e-04	3	00:10:57	00:12:04	67.0675299167633	0
25	100	1e-04	3	00:10:57	00:12:04	67.2274398803711	0
100	100	1e-04	3	00:10:57	00:12:04	67.3173849582672	0
950	75	1e-04	3	00:10:57	00:12:04	67.3533618450165	0
200	100	1e-04	3	00:12:06	00:13:10	64.4410438537598	0
250	100	1e-04	3	00:12:06	00:13:11	65.0147109031677	0
300	100	1e-04	3	00:12:06	00:13:11	65.4884359836578	0
450	100	1e-04	3	00:12:06	00:13:12	66.6587591171265	0
500	100	1e-04	3	00:12:06	00:13:13	66.8426570892334	0
550	100	1e-04	3	00:12:06	00:13:13	66.9785821437836	0
400	100	1e-04	3	00:12:06	00:13:13	67.066545009613	0
350	100	1e-04	3	00:12:06	00:13:13	67.1394860744476	0
950	100	1e-04	3	00:13:15	00:14:21	66.2360091209412	0
600	100	1e-04	3	00:13:15	00:14:21	66.284982919693	0
850	100	1e-04	3	00:13:15	00:14:21	66.6617650985718	0
700	100	1e-04	3	00:13:15	00:14:21	66.882639169693	0
800	100	1e-04	3	00:13:15	00:14:22	67.1684811115265	0
650	100	1e-04	3	00:13:15	00:14:22	67.4812989234924	0
750	100	1e-04	3	00:13:15	00:14:22	67.5552508831024	0
900	100	1e-04	3	00:13:15	00:14:22	67.562243938446	0
1000	100	1e-04	3	00:14:24	00:15:29	65.6123678684235	0
200	10	-1	4	00:14:24	00:15:46	82.1548788547516	9973333.33333333
300	10	-1	4	00:14:24	00:15:47	82.8854598999023	9973333.33333333
25	10	-1	4	00:14:24	00:15:48	83.8249249458313	9973333.33333333
250	10	-1	4	00:14:24	00:15:48	84.0707788467407	9973333.33333333
150	10	-1	4	00:14:24	00:15:48	84.1007609367371	9973333.33333333
50	10	-1	4	00:14:24	00:15:48	84.2606720924377	9973333.33333333
100	10	-1	4	00:14:24	00:15:48	84.3106379508972	9973333.33333333
350	10	-1	4	00:15:49	00:17:15	85.7018411159515	9973333.33333333
400	10	-1	4	00:15:49	00:17:16	86.2835140228271	9973333.33333333
550	10	-1	4	00:15:49	00:17:17	87.3948698043823	9973333.33333333
600	10	-1	4	00:15:49	00:17:17	87.5108060836792	9973333.33333333
500	10	-1	4	00:15:49	00:17:17	87.5357871055603	9973333.33333333
650	10	-1	4	00:15:49	00:17:17	87.6577160358429	9973333.33333333
700	10	-1	4	00:15:49	00:17:17	87.6647090911865	9973333.33333333
450	10	-1	4	00:15:49	00:17:17	87.7286770343781	9973333.33333333
800	10	-1	4	00:17:18	00:18:44	85.8347659111023	9993333.33333333
750	10	-1	4	00:17:18	00:18:44	85.9477050304413	9973333.33333333
950	10	-1	4	00:17:18	00:18:46	87.4998099803925	9993333.33333333
850	10	-1	4	00:17:18	00:18:46	87.5987470149994	9993333.33333333
1000	10	-1	4	00:17:18	00:18:46	87.639720916748	9993333.33333333
