min_split	min_bucket	cp	max_depth	seg	ganancia_promedio
100	5	0.1	4	20.77	0
100	5	0.1	6	21.11	0
100	5	0.1	8	21.6	0
100	5	0.1	10	20.68	0
100	5	0.1	15	21.23	0
100	5	0.1	20	21.22	0
100	5	0.15	4	18.51	0
100	5	0.15	6	18.6	0
100	5	0.15	8	18.24	0
100	5	0.15	10	18.67	0
100	5	0.15	15	18.63	0
100	5	0.15	20	18.29	0
100	12	-1	4	29.65	8939333
100	12	-1	6	41.36	10130667
100	12	-1	8	52	9423333
100	12	-1	10	64.32	8086667
100	12	-1	15	87.09	5774000
100	12	-1	20	98.09	4712000
100	12	0	4	28.71	0
100	12	0	6	40.54	0
100	12	0	8	51.31	0
100	12	0	10	63.69	0
100	12	0	15	83.79	0
100	12	0	20	94.99	0
100	12	0.01	4	28.23	0
100	12	0.01	6	34.93	0
100	12	0.01	8	40.4	0
100	12	0.01	10	43.22	0
100	12	0.01	15	44.79	0
100	12	0.01	20	44.53	0
100	12	0.02	4	28.39	0
100	12	0.02	6	34.56	0
100	12	0.02	8	36.62	0
100	12	0.02	10	36.95	0
100	12	0.02	15	37.07	0
100	12	0.02	20	36.87	0
100	12	0.03	4	28.05	0
100	12	0.03	6	31.58	0
100	12	0.03	8	33.15	0
100	12	0.03	10	32.9	0
100	12	0.03	15	32.97	0
100	12	0.03	20	32.79	0
100	12	0.04	4	27.92	0
100	12	0.04	6	29.92	0
100	12	0.04	8	30.06	0
100	12	0.04	10	29.65	0
100	12	0.04	15	30.19	0
100	12	0.04	20	29.79	0
100	12	0.05	4	27.75	0
100	12	0.05	6	28.43	0
100	12	0.05	8	28.93	0
100	12	0.05	10	28.39	0
100	12	0.05	15	29	0
100	12	0.05	20	28.38	0
100	12	0.06	4	24.74	0
100	12	0.06	6	26.21	0
100	12	0.06	8	25.61	0
100	12	0.06	10	26.21	0
100	12	0.06	15	26.52	0
100	12	0.06	20	26.17	0
100	12	0.07	4	23.38	0
100	12	0.07	6	23.97	0
100	12	0.07	8	23.81	0
100	12	0.07	10	24.52	0
100	12	0.07	15	23.85	0
100	12	0.07	20	24.48	0
100	12	0.08	4	23.3	0
100	12	0.08	6	23.32	0
100	12	0.08	8	24.37	0
100	12	0.08	10	24	0
100	12	0.08	15	23.7	0
100	12	0.08	20	23.92	0
100	12	0.09	4	23.34	0
100	12	0.09	6	22.49	0
100	12	0.09	8	23.1	0
100	12	0.09	10	22.56	0
100	12	0.09	15	22.47	0
100	12	0.09	20	22.35	0
100	12	0.1	4	20.24	0
100	12	0.1	6	21.02	0
100	12	0.1	8	20.31	0
100	12	0.1	10	20.18	0
100	12	0.1	15	20.62	0
100	12	0.1	20	20.36	0
100	12	0.15	4	18.35	0
100	12	0.15	6	18.35	0
100	12	0.15	8	17.87	0
100	12	0.15	10	18.58	0
100	12	0.15	15	17.56	0
100	12	0.15	20	17.67	0
100	25	-1	4	29.54	9126000
100	25	-1	6	40.89	9820000
100	25	-1	8	52.68	8884667
100	25	-1	10	63.78	7027333
100	25	-1	15	81.86	4241333
100	25	-1	20	90.61	3594667
100	25	0	4	27.69	0
100	25	0	6	39.65	0
100	25	0	8	50.48	0
100	25	0	10	61.48	0
100	25	0	15	77.05	0
100	25	0	20	86.01	0
100	25	0.01	4	27.51	0
100	25	0.01	6	33.52	0
100	25	0.01	8	37.31	0
100	25	0.01	10	40.45	0
100	25	0.01	15	40.67	0
100	25	0.01	20	41	0
100	25	0.02	4	27.11	0
100	25	0.02	6	32.32	0
100	25	0.02	8	34.52	0
100	25	0.02	10	34.6	0
100	25	0.02	15	34.84	0
100	25	0.02	20	34.63	0
100	25	0.03	4	27.44	0
100	25	0.03	6	31.07	0
100	25	0.03	8	31.5	0
100	25	0.03	10	30.65	0
100	25	0.03	15	30.94	0
100	25	0.03	20	31.98	0
100	25	0.04	4	26.89	0
100	25	0.04	6	28.67	0
100	25	0.04	8	29.45	0
100	25	0.04	10	28.89	0
100	25	0.04	15	29.27	0
100	25	0.04	20	29.04	0
100	25	0.05	4	27.46	0
100	25	0.05	6	27.51	0
100	25	0.05	8	28.45	0
100	25	0.05	10	27.98	0
100	25	0.05	15	27.63	0
100	25	0.05	20	28.23	0
100	25	0.06	4	24.18	0
100	25	0.06	6	25.23	0
100	25	0.06	8	25.01	0
100	25	0.06	10	25.56	0
100	25	0.06	15	25.97	0
100	25	0.06	20	24.97	0
100	25	0.07	4	23.57	0
100	25	0.07	6	23.73	0
100	25	0.07	8	24.48	0
100	25	0.07	10	23.95	0
100	25	0.07	15	24	0
100	25	0.07	20	24.14	0
100	25	0.08	4	23.01	0
100	25	0.08	6	23.45	0
100	25	0.08	8	24.35	0
100	25	0.08	10	23.78	0
100	25	0.08	15	23.56	0
100	25	0.08	20	24.08	0
100	25	0.09	4	22.43	0
100	25	0.09	6	23.09	0
100	25	0.09	8	22.94	0
100	25	0.09	10	22.83	0
100	25	0.09	15	22.78	0
100	25	0.09	20	22.33	0
100	25	0.1	4	20.69	0
100	25	0.1	6	20.95	0
100	25	0.1	8	20.27	0
100	25	0.1	10	20.9	0
100	25	0.1	15	20.76	0
100	25	0.1	20	20.95	0
100	25	0.15	4	17.89	0
100	25	0.15	6	18.04	0
100	25	0.15	8	18.26	0
100	25	0.15	10	18.59	0
100	25	0.15	15	18.56	0
100	25	0.15	20	17.76	0
100	50	-1	4	29.07	9896667
100	50	-1	6	40.84	10190667
100	50	-1	8	52.23	8107333
100	50	-1	10	62.79	6301333
100	50	-1	15	78.94	3995333
100	50	-1	20	86.07	3476667
100	50	0	4	28.16	0
100	50	0	6	39.77	0
100	50	0	8	50.53	0
100	50	0	10	61.07	0
100	50	0	15	76.9	0
100	50	0	20	81.11	0
100	50	0.01	4	27.2	0
100	50	0.01	6	33.03	0
100	50	0.01	8	37.01	0
100	50	0.01	10	38.2	0
100	50	0.01	15	38.26	0
100	50	0.01	20	38.34	0
100	50	0.02	4	27.64	0
